Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
SP1,2005-11-05,Villarreal,Valencia,1,0,H,1,0,H,15,13,4,6,17,22,1,6,1,1,0,0,2.37,3.2,2.87
SP1,2005-11-06,Cádiz,Mallorca,1,2,A,1,1,D,9,9,4,4,15,21,7,3,3,3,0,1,2.0,3.25,3.25
SP1,2005-11-06,Celta,Alavés,2,1,H,1,0,H,14,9,9,2,22,14,6,4,3,2,0,0,1.72,3.25,4.33
SP1,2005-11-06,Getafe,Barcelona,1,3,A,0,1,A,7,10,3,7,20,10,5,4,1,0,0,0,4.5,3.6,1.72
SP1,2005-11-06,Málaga,RC Deportivo,1,1,D,0,0,D,11,12,1,4,23,17,4,2,0,3,0,0,2.4,3.2,2.6
SP1,2005-11-06,Real Madrid,Real Zaragoza,1,0,H,0,0,D,13,14,5,4,14,22,6,1,2,5,0,0,1.36,4.33,9.0
SP1,2005-11-06,Racing,Real Betis,1,1,D,0,1,A,14,8,5,2,24,27,6,7,3,2,0,0,2.3,3.25,2.75
SP1,2005-11-06,Sevilla,Atlético,0,0,D,0,0,D,14,12,6,3,21,18,7,4,0,3,0,0,2.0,3.25,3.4
SP1,2005-11-19,Getafe,Osasuna,0,0,D,0,0,D,13,9,4,2,17,26,4,2,2,2,0,0,2.25,3.0,3.0
SP1,2005-11-19,Real Madrid,Barcelona,0,3,A,0,1,A,5,20,2,7,25,16,3,6,6,2,0,0,2.37,3.2,2.62
SP1,2005-11-19,Sevilla,Real Betis,1,0,H,0,0,D,9,8,2,3,23,24,7,4,4,7,2,0,2.0,3.0,3.5
SP1,2005-11-19,Villarreal,Real Zaragoza,0,0,D,0,0,D,10,11,3,3,19,19,6,2,2,3,0,0,1.72,3.25,4.33
SP1,2005-11-20,Athletic,Alavés,0,2,A,0,1,A,18,11,5,7,20,18,11,1,3,3,0,0,1.83,3.25,3.75
SP1,2005-11-20,Cádiz,Valencia,0,1,A,0,0,D,11,6,4,2,17,26,10,11,4,6,1,1,2.8,3.2,2.25
SP1,2005-11-20,Celta,Atlético,2,1,H,1,0,H,10,18,4,8,28,17,3,11,2,2,0,0,2.25,3.25,2.75
SP1,2005-11-20,Espanyol,Mallorca,2,0,H,2,0,H,13,9,6,1,26,25,4,4,3,5,0,1,2.0,3.25,3.25
SP1,2005-11-20,Málaga,R. Sociedad,3,1,H,0,0,D,14,13,7,3,26,11,7,7,2,2,0,0,2.2,3.2,2.87
SP1,2005-11-20,Racing,RC Deportivo,0,3,A,0,1,A,17,9,7,3,23,31,4,4,1,1,0,0,2.6,3.2,2.4
SP1,2005-11-26,Mallorca,Athletic,0,1,A,0,0,D,12,6,4,1,22,21,4,3,1,3,0,0,2.2,3.25,3.2
SP1,2005-11-26,Valencia,Celta,2,0,H,0,0,D,15,11,7,3,16,16,9,6,1,2,0,0,1.72,3.4,5.0
SP1,2005-11-27,Atlético,Espanyol,1,1,D,1,1,D,16,19,5,7,22,22,5,7,4,4,0,0,1.72,3.4,5.0
SP1,2005-11-27,Barcelona,Racing,4,1,H,1,0,H,25,3,7,1,13,30,8,0,1,2,0,1,1.16,6.5,15.0
SP1,2005-11-27,Real Betis,Cádiz,1,1,D,1,0,H,12,14,5,5,18,8,4,5,4,2,1,0,1.8,3.3,4.5
SP1,2005-11-27,Getafe,Málaga,3,2,H,2,1,H,17,10,6,4,16,30,9,8,0,2,0,0,2.0,3.2,3.75
SP1,2005-11-27,RC Deportivo,Villarreal,0,2,A,0,0,D,17,17,3,10,32,22,7,6,4,2,0,0,2.1,3.2,3.5
SP1,2005-11-27,Osasuna,Alavés,3,2,H,0,0,D,15,7,7,5,26,21,9,1,1,2,0,0,1.61,3.6,5.5
SP1,2005-11-27,R. Sociedad,Real Madrid,2,2,D,1,0,H,11,20,5,10,27,15,4,5,4,5,1,1,3.4,3.25,2.1
SP1,2005-11-27,Real Zaragoza,Sevilla,0,2,A,0,0,D,15,17,2,8,19,5,5,5,4,0,1,0,2.37,3.2,2.9
SP1,2005-12-03,Athletic,Atlético,1,1,D,0,1,A,14,6,3,1,14,23,9,3,4,3,0,0,2.3,3.2,2.7
SP1,2005-12-03,Celta,Real Betis,2,1,H,2,0,H,9,23,4,4,29,21,5,11,5,4,0,1,1.8,3.25,4.0
SP1,2005-12-03,Real Madrid,Getafe,1,0,H,1,0,H,6,19,1,4,17,24,3,13,3,3,1,0,1.4,3.75,7.5
SP1,2005-12-04,Alavés,Mallorca,0,3,A,0,1,A,18,13,3,10,15,24,10,5,4,4,0,0,2.1,3.25,3.0
SP1,2005-12-04,Cádiz,Real Zaragoza,1,2,A,1,0,H,4,6,1,2,15,20,3,4,2,4,0,0,2.3,3.1,2.87
SP1,2005-12-04,Espanyol,Valencia,1,3,A,0,2,A,15,18,2,9,23,15,4,4,3,2,0,1,2.62,3.2,2.37
SP1,2005-12-04,Málaga,Osasuna,1,2,A,1,2,A,9,11,2,4,26,14,7,4,3,2,0,0,2.4,3.2,2.6
SP1,2005-12-04,Racing,R. Sociedad,2,2,D,0,1,A,14,17,4,9,24,17,4,3,3,5,0,1,2.37,3.2,2.62
SP1,2005-12-04,Sevilla,RC Deportivo,0,2,A,0,2,A,13,11,3,6,26,15,12,6,7,6,2,0,2.0,3.25,3.25
SP1,2005-12-04,Villarreal,Barcelona,0,2,A,0,1,A,6,11,1,4,19,24,5,5,2,4,0,1,3.75,3.25,1.83
SP1,2005-12-10,R. Sociedad,Villarreal,1,3,A,1,1,D,16,14,6,8,15,17,5,1,1,2,0,0,2.6,3.2,2.62
SP1,2005-12-10,Valencia,Athletic,1,1,D,0,0,D,23,6,8,2,16,21,10,4,1,2,0,1,1.5,3.75,7.0
SP1,2005-12-11,Atlético,Alavés,1,1,D,0,0,D,21,11,2,6,17,17,12,3,2,2,0,0,1.57,3.5,6.5
SP1,2005-12-11,Barcelona,Sevilla,2,1,H,0,0,D,14,7,3,2,24,19,7,1,4,2,0,0,1.3,5.0,9.5
SP1,2005-12-11,Real Betis,Espanyol,0,0,D,0,0,D,20,6,3,1,10,12,9,0,1,2,0,0,2.1,3.2,3.5
SP1,2005-12-11,Getafe,Racing,1,2,A,1,1,D,10,7,3,4,20,21,10,1,3,5,0,0,1.8,3.3,4.5
SP1,2005-12-11,RC Deportivo,Cádiz,1,0,H,0,0,D,20,8,6,4,23,18,5,5,1,2,0,0,1.57,3.5,6.5
