"name","position","age","nationality","market_value","profile_url","team"
"Nasief Morris","Nasief Morris Defensa central","Defensa central","Sudáfrica","2,60 mill. €","https://www.transfermarkt.es/nasief-morris/profil/spieler/9735","Recreativo"
"Iago Bouzón","Iago Bouzón Defensa central","Defensa central","España","2,00 mill. €","https://www.transfermarkt.es/iago-bouzon/profil/spieler/14535","Recreativo"
"Alain Nef","Alain Nef Defensa central","Defensa central","Suiza","1,40 mill. €","https://www.transfermarkt.es/alain-nef/profil/spieler/4945","Recreativo"
"Andrés Lamas","Andrés Lamas Defensa central","Defensa central","Uruguay","800 mil €","https://www.transfermarkt.es/andres-lamas/profil/spieler/66675","Recreativo"
"Beto","Beto Defensa central","Defensa central","Portugal","800 mil €","https://www.transfermarkt.es/beto/profil/spieler/13819","Recreativo"
"Quique Álvarez","Quique Álvarez Defensa central","Defensa central","España","500 mil €","https://www.transfermarkt.es/quique-alvarez/profil/spieler/7832","Recreativo"
"Cristobal","Cristobal Defensa central","Defensa central","España","-","https://www.transfermarkt.es/cristobal/profil/spieler/113530","Recreativo"
"Aitor Tornavaca","Aitor Tornavaca Lateral izquierdo","Lateral izquierdo","España","1,80 mill. €","https://www.transfermarkt.es/aitor-tornavaca/profil/spieler/44026","Recreativo"
"Poli","Poli Lateral izquierdo","Lateral izquierdo","España","1,20 mill. €","https://www.transfermarkt.es/poli/profil/spieler/7678","Recreativo"
"José Manuel Casado","José Manuel Casado Lateral izquierdo","Lateral izquierdo","España","900 mil €","https://www.transfermarkt.es/jose-manuel-casado/profil/spieler/58774","Recreativo"
"Pablo Oliveira","Pablo Oliveira Lateral derecho","Lateral derecho","España","500 mil €","https://www.transfermarkt.es/pablo-oliveira/profil/spieler/58315","Recreativo"
"Juan Aranda","Juan Aranda Lateral derecho","Lateral derecho","España","-","https://www.transfermarkt.es/juan-aranda/profil/spieler/113529","Recreativo"
"Javi Fuego","Javi Fuego Pivote","Pivote","España","1,60 mill. €","https://www.transfermarkt.es/javi-fuego/profil/spieler/56134","Recreativo"
"José Ignacio Zahinos","José Ignacio Zahinos Pivote","Pivote","España","1,00 mill. €","https://www.transfermarkt.es/jose-ignacio-zahinos/profil/spieler/35523","Recreativo"
"Jesús Vázquez","Jesús Vázquez Mediocentro","Mediocentro","España","2,80 mill. €","https://www.transfermarkt.es/jesus-vazquez/profil/spieler/27683","Recreativo"
"Rafa Barber","Rafa Barber Mediocentro","Mediocentro","España","800 mil €","https://www.transfermarkt.es/rafa-barber/profil/spieler/43998","Recreativo"
"Sebastián Nayar","Sebastián Nayar Mediocentro","Mediocentro","Argentina","700 mil €","https://www.transfermarkt.es/sebastian-nayar/profil/spieler/55959","Recreativo"
"Sisi González","Sisi González Mediocentro ofensivo","Mediocentro ofensivo","España","4,00 mill. €","https://www.transfermarkt.es/sisi-gonzalez/profil/spieler/51713","Recreativo"
"Cristian Maidana","Cristian Maidana Mediocentro ofensivo","Mediocentro ofensivo","Argentina","2,00 mill. €","https://www.transfermarkt.es/cristian-maidana/profil/spieler/45318","Recreativo"
"Joselito","Joselito Mediocentro ofensivo","Mediocentro ofensivo","España","100 mil €","https://www.transfermarkt.es/joselito/profil/spieler/44014","Recreativo"
"Kanga Akalé","Kanga Akalé Extremo izquierdo","Extremo izquierdo","Costa de Marfil","3,00 mill. €","https://www.transfermarkt.es/kanga-akale/profil/spieler/12060","Recreativo"
"Mario Pizarraya","Mario Pizarraya Extremo izquierdo","Extremo izquierdo","España","-","https://www.transfermarkt.es/mario-pizarraya/profil/spieler/113035","Recreativo"
"Javier Camuñas","Javier Camuñas Extremo derecho","Extremo derecho","España","3,00 mill. €","https://www.transfermarkt.es/javier-camunas/profil/spieler/29170","Recreativo"
"Juan Villar","Juan Villar Extremo derecho","Extremo derecho","España","-","https://www.transfermarkt.es/juan-villar/profil/spieler/85500","Recreativo"
"Adrián Colunga","Adrián Colunga Delantero centro","Delantero centro","España","3,00 mill. €","https://www.transfermarkt.es/adrian-colunga/profil/spieler/57866","Recreativo"
"Marco Ruben","Marco Ruben Delantero centro","Delantero centro","Argentina","3,00 mill. €","https://www.transfermarkt.es/marco-ruben/profil/spieler/30825","Recreativo"
"Javi Guerrero","Javi Guerrero Delantero centro","Delantero centro","España","2,00 mill. €","https://www.transfermarkt.es/javi-guerrero/profil/spieler/7869","Recreativo"
"Ersen Martin","Ersen Martin Delantero centro","Delantero centro","Turquía","1,40 mill. €","https://www.transfermarkt.es/ersen-martin/profil/spieler/7035","Recreativo"
"Andrés Palop","Andrés Palop Portero","Portero","España","5,00 mill. €","https://www.transfermarkt.es/andres-palop/profil/spieler/7563","Sevilla"
"Javi Varas","Javi Varas Portero","Portero","España","1,00 mill. €","https://www.transfermarkt.es/javi-varas/profil/spieler/58341","Sevilla"
"Pablo Vargas","Pablo Vargas Portero","Portero","España","300 mil €","https://www.transfermarkt.es/pablo-vargas/profil/spieler/38240","Sevilla"
"Juan Martín","Juan Martín Portero","Portero","España","100 mil €","https://www.transfermarkt.es/juan-martin/profil/spieler/58334","Sevilla"
"Sébastien Squillaci","Sébastien Squillaci Defensa central","Defensa central","Francia","15,00 mill. €","https://www.transfermarkt.es/sebastien-squillaci/profil/spieler/5293","Sevilla"
"Federico Fazio","Federico Fazio Defensa central","Defensa central","Argentina","6,00 mill. €","https://www.transfermarkt.es/federico-fazio/profil/spieler/45314","Sevilla"
"Julien Escudé","Julien Escudé Defensa central","Defensa central","Francia","5,00 mill. €","https://www.transfermarkt.es/julien-escude/profil/spieler/3573","Sevilla"
"Aquivaldo Mosquera","Aquivaldo Mosquera Defensa central","Defensa central","Colombia","4,00 mill. €","https://www.transfermarkt.es/aquivaldo-mosquera/profil/spieler/52619","Sevilla"
"David Prieto","David Prieto Defensa central","Defensa central","España","3,00 mill. €","https://www.transfermarkt.es/david-prieto/profil/spieler/35569","Sevilla"
"José Crespo","José Crespo Defensa central","Defensa central","España","2,80 mill. €","https://www.transfermarkt.es/jose-crespo/profil/spieler/37397","Sevilla"
"Ivica Dragutinovic","Ivica Dragutinovic Defensa central","Defensa central","Serbia","2,00 mill. €","https://www.transfermarkt.es/ivica-dragutinovic/profil/spieler/13453","Sevilla"
"Javi Navarro","Javi Navarro Defensa central","Defensa central","España","-","https://www.transfermarkt.es/javi-navarro/profil/spieler/7696","Sevilla"
"Adriano","Adriano Lateral izquierdo","Lateral izquierdo","Brasil","18,00 mill. €","https://www.transfermarkt.es/adriano/profil/spieler/34495","Sevilla"
"Fernando Navarro","Fernando Navarro Lateral izquierdo","Lateral izquierdo","España","9,00 mill. €","https://www.transfermarkt.es/fernando-navarro/profil/spieler/7593","Sevilla"
"Jesús Navas","Jesús Navas Lateral derecho","Lateral derecho","España","17,00 mill. €","https://www.transfermarkt.es/jesus-navas/profil/spieler/15956","Sevilla"
"Abdoulay Konko","Abdoulay Konko Lateral derecho","Lateral derecho","Francia","6,00 mill. €","https://www.transfermarkt.es/abdoulay-konko/profil/spieler/22139","Sevilla"
"Romaric","Romaric Pivote","Pivote","Costa de Marfil","10,00 mill. €","https://www.transfermarkt.es/romaric/profil/spieler/15808","Sevilla"
"Aldo Duscher","Aldo Duscher Pivote","Pivote","Argentina","6,00 mill. €","https://www.transfermarkt.es/aldo-duscher/profil/spieler/3954","Sevilla"
"Renato","Renato Mediocentro","Mediocentro","Brasil","9,00 mill. €","https://www.transfermarkt.es/renato/profil/spieler/15445","Sevilla"
"Enzo Maresca","Enzo Maresca Mediocentro","Mediocentro","Italia","5,00 mill. €","https://www.transfermarkt.es/enzo-maresca/profil/spieler/16651","Sevilla"
"Miguel Ángel Cordero","Miguel Ángel Cordero Mediocentro","Mediocentro","España","600 mil €","https://www.transfermarkt.es/miguel-angel-cordero/profil/spieler/58778","Sevilla"
"Tom De Mul","Tom De Mul Interior derecho","Interior derecho","Bélgica","2,80 mill. €","https://www.transfermarkt.es/tom-de-mul/profil/spieler/15893","Sevilla"
"José Carlos","José Carlos Mediocentro ofensivo","Mediocentro ofensivo","España","500 mil €","https://www.transfermarkt.es/jose-carlos/profil/spieler/73244","Sevilla"
"Diego Capel","Diego Capel Extremo izquierdo","Extremo izquierdo","España","14,00 mill. €","https://www.transfermarkt.es/diego-capel/profil/spieler/27471","Sevilla"
"Lautaro Acosta","Lautaro Acosta Extremo izquierdo","Extremo izquierdo","Argentina","4,00 mill. €","https://www.transfermarkt.es/lautaro-acosta/profil/spieler/45307","Sevilla"
"Diego Perotti","Diego Perotti Extremo izquierdo","Extremo izquierdo","Argentina","2,00 mill. €","https://www.transfermarkt.es/diego-perotti/profil/spieler/54984","Sevilla"
"Emiliano Armenteros","Emiliano Armenteros Extremo izquierdo","Extremo izquierdo","Argentina","1,60 mill. €","https://www.transfermarkt.es/emiliano-armenteros/profil/spieler/30747","Sevilla"
"Hugo Rodríguez","Hugo Rodríguez Extremo izquierdo","Extremo izquierdo","España","-","https://www.transfermarkt.es/hugo-rodriguez/profil/spieler/93154","Sevilla"
"Luís Fabiano","Luís Fabiano Delantero centro","Delantero centro","Brasil","22,00 mill. €","https://www.transfermarkt.es/luis-fabiano/profil/spieler/19082","Sevilla"
"Frédéric Kanouté","Frédéric Kanouté Delantero centro","Delantero centro","Malí","22,00 mill. €","https://www.transfermarkt.es/frederic-kanoute/profil/spieler/3700","Sevilla"
"Arouna Koné","Arouna Koné Delantero centro","Delantero centro","Costa de Marfil","5,00 mill. €","https://www.transfermarkt.es/arouna-kone/profil/spieler/8552","Sevilla"
"Javier Chevantón","Javier Chevantón Delantero centro","Delantero centro","Uruguay","3,40 mill. €","https://www.transfermarkt.es/javier-chevanton/profil/spieler/6420","Sevilla"
"Teemu Pukki","Teemu Pukki Delantero centro","Delantero centro","Finlandia","600 mil €","https://www.transfermarkt.es/teemu-pukki/profil/spieler/46972","Sevilla"
"Fernando Rodríguez","Fernando Rodríguez Delantero centro","Delantero centro","España","-","https://www.transfermarkt.es/fernando-rodriguez/profil/spieler/73293","Sevilla"
"Enrique Carreño","Enrique Carreño Delantero centro","Delantero centro","España","-","https://www.transfermarkt.es/enrique-carreno/profil/spieler/69583","Sevilla"
"Renan Soares","Renan Soares Portero","Portero","Brasil","6,00 mill. €","https://www.transfermarkt.es/renan-soares/profil/spieler/27364","Valencia"
"Timo Hildebrand","Timo Hildebrand Portero","Portero","Alemania","4,00 mill. €","https://www.transfermarkt.es/timo-hildebrand/profil/spieler/598","Valencia"
"César Sánchez","César Sánchez Portero","Portero","España","1,00 mill. €","https://www.transfermarkt.es/cesar-sanchez/profil/spieler/7510","Valencia"
"Vicente Guaita","Vicente Guaita Portero","Portero","España","500 mil €","https://www.transfermarkt.es/vicente-guaita/profil/spieler/64399","Valencia"
"Salva de la Cruz","Salva de la Cruz Portero","Portero","España","-","https://www.transfermarkt.es/salva-de-la-cruz/profil/spieler/65357","Valencia"
"Carlos Marchena","Carlos Marchena Defensa central","Defensa central","España","10,00 mill. €","https://www.transfermarkt.es/carlos-marchena/profil/spieler/7572","Valencia"
"Raúl Albiol","Raúl Albiol Defensa central","Defensa central","España","9,00 mill. €","https://www.transfermarkt.es/raul-albiol/profil/spieler/15452","Valencia"
"Emiliano Moretti","Emiliano Moretti Defensa central","Defensa central","Italia","8,00 mill. €","https://www.transfermarkt.es/emiliano-moretti/profil/spieler/5755","Valencia"
"Alexis Ruano","Alexis Ruano Defensa central","Defensa central","España","7,00 mill. €","https://www.transfermarkt.es/alexis-ruano/profil/spieler/7781","Valencia"
"Iván Helguera","Iván Helguera Defensa central","Defensa central","España","2,00 mill. €","https://www.transfermarkt.es/ivan-helguera/profil/spieler/7514","Valencia"
"Carlos David","Carlos David Defensa central","Defensa central","España","-","https://www.transfermarkt.es/carlos-david/profil/spieler/65342","Valencia"
"Arturo Navarro","Arturo Navarro Defensa central","Defensa central","España","-","https://www.transfermarkt.es/arturo-navarro/profil/spieler/65344","Valencia"
"Asier del Horno","Asier del Horno Lateral izquierdo","Lateral izquierdo","España","2,40 mill. €","https://www.transfermarkt.es/asier-del-horno/profil/spieler/7617","Valencia"
"Thiago Carleto","Thiago Carleto Lateral izquierdo","Lateral izquierdo","Brasil","600 mil €","https://www.transfermarkt.es/thiago-carleto/profil/spieler/60982","Valencia"
"Jaume Costa","Jaume Costa Lateral izquierdo","Lateral izquierdo","España","-","https://www.transfermarkt.es/jaume-costa/profil/spieler/65318","Valencia"
"Miguel","Miguel Lateral derecho","Lateral derecho","Portugal","8,00 mill. €","https://www.transfermarkt.es/miguel/profil/spieler/13225","Valencia"
"Curro Torres","Curro Torres Lateral derecho","Lateral derecho","España","400 mil €","https://www.transfermarkt.es/curro-torres/profil/spieler/7567","Valencia"
"Ximo Navarro","Ximo Navarro Lateral derecho","Lateral derecho","España","-","https://www.transfermarkt.es/ximo-navarro/profil/spieler/65343","Valencia"
"Hedwiges Maduro","Hedwiges Maduro Pivote","Pivote","Países Bajos","6,00 mill. €","https://www.transfermarkt.es/hedwiges-maduro/profil/spieler/19057","Valencia"
"David Albelda","David Albelda Pivote","Pivote","España","6,00 mill. €","https://www.transfermarkt.es/david-albelda/profil/spieler/7575","Valencia"
"Rubén Baraja","Rubén Baraja Mediocentro","Mediocentro","España","5,00 mill. €","https://www.transfermarkt.es/ruben-baraja/profil/spieler/4191","Valencia"
"Edú Gaspar","Edú Gaspar Mediocentro","Mediocentro","Brasil","4,00 mill. €","https://www.transfermarkt.es/edu-gaspar/profil/spieler/3192","Valencia"
"Hugo Viana","Hugo Viana Mediocentro","Mediocentro","Portugal","2,40 mill. €","https://www.transfermarkt.es/hugo-viana/profil/spieler/3480","Valencia"
"Míchel Herrero","Míchel Herrero Mediocentro","Mediocentro","España","600 mil €","https://www.transfermarkt.es/michel-herrero/profil/spieler/65331","Valencia"
"Carles Martínez","Carles Martínez Mediocentro","Mediocentro","España","-","https://www.transfermarkt.es/carles-martinez/profil/spieler/65337","Valencia"
"David Silva","David Silva Mediocentro ofensivo","Mediocentro ofensivo","España","22,00 mill. €","https://www.transfermarkt.es/david-silva/profil/spieler/35518","Valencia"
"Juan Mata","Juan Mata Mediocentro ofensivo","Mediocentro ofensivo","España","15,00 mill. €","https://www.transfermarkt.es/juan-mata/profil/spieler/44068","Valencia"
"Manuel Fernandes","Manuel Fernandes Mediocentro ofensivo","Mediocentro ofensivo","Portugal","11,00 mill. €","https://www.transfermarkt.es/manuel-fernandes/profil/spieler/16791","Valencia"
"Vicente","Vicente Extremo izquierdo","Extremo izquierdo","España","13,00 mill. €","https://www.transfermarkt.es/vicente/profil/spieler/7582","Valencia"
"Joaquín","Joaquín Extremo derecho","Extremo derecho","España","15,00 mill. €","https://www.transfermarkt.es/joaquin/profil/spieler/7663","Valencia"
"Pablo Hernández","Pablo Hernández Extremo derecho","Extremo derecho","España","6,00 mill. €","https://www.transfermarkt.es/pablo-hernandez/profil/spieler/46220","Valencia"
"Miguel Ángel Angulo","Miguel Ángel Angulo Mediapunta","Mediapunta","España","3,60 mill. €","https://www.transfermarkt.es/miguel-angel-angulo/profil/spieler/7579","Valencia"
"David Villa","David Villa Delantero centro","Delantero centro","España","42,00 mill. €","https://www.transfermarkt.es/david-villa/profil/spieler/7980","Valencia"
"Nikola Zigic","Nikola Zigic Delantero centro","Delantero centro","Serbia","10,00 mill. €","https://www.transfermarkt.es/nikola-zigic/profil/spieler/19729","Valencia"
"Fernando Morientes","Fernando Morientes Delantero centro","Delantero centro","España","7,00 mill. €","https://www.transfermarkt.es/fernando-morientes/profil/spieler/7531","Valencia"
"Diego López","Diego López Portero","Portero","España","12,00 mill. €","https://www.transfermarkt.es/diego-lopez/profil/spieler/34370","Villarreal"
"Sebastián Viera","Sebastián Viera Portero","Portero","Uruguay","2,60 mill. €","https://www.transfermarkt.es/sebastian-viera/profil/spieler/33531","Villarreal"
"Juan Carlos","Juan Carlos Portero","Portero","España","300 mil €","https://www.transfermarkt.es/juan-carlos/profil/spieler/39004","Villarreal"
"Gonzalo Rodríguez","Gonzalo Rodríguez Defensa central","Defensa central","Argentina","10,00 mill. €","https://www.transfermarkt.es/gonzalo-rodriguez/profil/spieler/19998","Villarreal"
"Diego Godín","Diego Godín Defensa central","Defensa central","Uruguay","8,00 mill. €","https://www.transfermarkt.es/diego-godin/profil/spieler/54928","Villarreal"
"Fabricio Fuentes","Fabricio Fuentes Defensa central","Defensa central","Argentina","2,00 mill. €","https://www.transfermarkt.es/fabricio-fuentes/profil/spieler/12505","Villarreal"
"Pascal Cygan","Pascal Cygan Defensa central","Defensa central","Francia","1,00 mill. €","https://www.transfermarkt.es/pascal-cygan/profil/spieler/3193","Villarreal"
"Kiko Olivas","Kiko Olivas Defensa central","Defensa central","España","200 mil €","https://www.transfermarkt.es/kiko-olivas/profil/spieler/51667","Villarreal"
"Mario Gaspar","Mario Gaspar Defensa central","Defensa central","España","200 mil €","https://www.transfermarkt.es/mario-gaspar/profil/spieler/73250","Villarreal"
"Joan Capdevila","Joan Capdevila Lateral izquierdo","Lateral izquierdo","España","13,00 mill. €","https://www.transfermarkt.es/joan-capdevila/profil/spieler/7486","Villarreal"
"Joan Oriol","Joan Oriol Lateral izquierdo","Lateral izquierdo","España","-","https://www.transfermarkt.es/joan-oriol/profil/spieler/73215","Villarreal"
"Ángel López","Ángel López Lateral derecho","Lateral derecho","España","5,00 mill. €","https://www.transfermarkt.es/angel-lopez/profil/spieler/15500","Villarreal"
"Javi Venta","Javi Venta Lateral derecho","Lateral derecho","España","2,60 mill. €","https://www.transfermarkt.es/javi-venta/profil/spieler/7831","Villarreal"
"Marcos Senna","Marcos Senna Pivote","Pivote","España","13,00 mill. €","https://www.transfermarkt.es/marcos-senna/profil/spieler/7840","Villarreal"
"Sebastián Eguren","Sebastián Eguren Pivote","Pivote","Uruguay","6,00 mill. €","https://www.transfermarkt.es/sebastian-eguren/profil/spieler/35590","Villarreal"
"Bruno Soriano","Bruno Soriano Pivote","Pivote","España","3,40 mill. €","https://www.transfermarkt.es/bruno-soriano/profil/spieler/44412","Villarreal"
"Edmílson","Edmílson Pivote","Pivote","Brasil","2,00 mill. €","https://www.transfermarkt.es/edmilson/profil/spieler/5343","Villarreal"
"Santi Cazorla","Santi Cazorla Mediocentro","Mediocentro","España","15,00 mill. €","https://www.transfermarkt.es/santi-cazorla/profil/spieler/15799","Villarreal"
"Javier Matilla","Javier Matilla Mediocentro","Mediocentro","España","100 mil €","https://www.transfermarkt.es/javier-matilla/profil/spieler/73269","Villarreal"
"Cristóbal Márquez","Cristóbal Márquez Mediocentro","Mediocentro","España","100 mil €","https://www.transfermarkt.es/cristobal-marquez/profil/spieler/72281","Villarreal"
"Jordi Pablo","Jordi Pablo Interior derecho","Interior derecho","España","300 mil €","https://www.transfermarkt.es/jordi-pablo/profil/spieler/59360","Villarreal"
"Robert Pirès","Robert Pirès Interior izquierdo","Interior izquierdo","Francia","5,00 mill. €","https://www.transfermarkt.es/robert-pires/profil/spieler/3185","Villarreal"
"Ariel Ibagaza","Ariel Ibagaza Mediocentro ofensivo","Mediocentro ofensivo","Argentina","7,00 mill. €","https://www.transfermarkt.es/ariel-ibagaza/profil/spieler/7682","Villarreal"
"Matías Fernández","Matías Fernández Mediocentro ofensivo","Mediocentro ofensivo","Chile","7,00 mill. €","https://www.transfermarkt.es/matias-fernandez/profil/spieler/37918","Villarreal"
"Cani","Cani Extremo izquierdo","Extremo izquierdo","España","7,00 mill. €","https://www.transfermarkt.es/cani/profil/spieler/7983","Villarreal"
"Joan Tomás","Joan Tomás Extremo izquierdo","Extremo izquierdo","España","200 mil €","https://www.transfermarkt.es/joan-tomas/profil/spieler/64419","Villarreal"
"Giuseppe Rossi","Giuseppe Rossi Delantero centro","Delantero centro","Italia","20,00 mill. €","https://www.transfermarkt.es/giuseppe-rossi/profil/spieler/19104","Villarreal"
"Nihat Kahveci","Nihat Kahveci Delantero centro","Delantero centro","Turquía","10,00 mill. €","https://www.transfermarkt.es/nihat-kahveci/profil/spieler/6569","Villarreal"
"Joseba Llorente","Joseba Llorente Delantero centro","Delantero centro","España","10,00 mill. €","https://www.transfermarkt.es/joseba-llorente/profil/spieler/7480","Villarreal"
"Guillermo Franco","Guillermo Franco Delantero centro","Delantero centro","México","4,00 mill. €","https://www.transfermarkt.es/guillermo-franco/profil/spieler/37558","Villarreal"
"Jozy Altidore","Jozy Altidore Delantero centro","Delantero centro","Estados Unidos","3,00 mill. €","https://www.transfermarkt.es/jozy-altidore/profil/spieler/39378","Villarreal"
"Sergio Asenjo","Sergio Asenjo Portero","Portero","España","4,00 mill. €","https://www.transfermarkt.es/sergio-asenjo/profil/spieler/51710","Real Valladolid"
"Justo Villar","Justo Villar Portero","Portero","Paraguay","1,80 mill. €","https://www.transfermarkt.es/justo-villar/profil/spieler/38811","Real Valladolid"
"Alberto López","Alberto López Portero","Portero","España","100 mil €","https://www.transfermarkt.es/alberto-lopez/profil/spieler/7457","Real Valladolid"
"García Calvo","García Calvo Defensa central","Defensa central","España","1,60 mill. €","https://www.transfermarkt.es/garcia-calvo/profil/spieler/10006","Real Valladolid"
"Nano Rivas","Nano Rivas Defensa central","Defensa central","España","1,00 mill. €","https://www.transfermarkt.es/nano-rivas/profil/spieler/22974","Real Valladolid"
"Luis Prieto","Luis Prieto Defensa central","Defensa central","España","1,00 mill. €","https://www.transfermarkt.es/luis-prieto/profil/spieler/7623","Real Valladolid"
"Iñaki Bea","Iñaki Bea Defensa central","Defensa central","España","300 mil €","https://www.transfermarkt.es/inaki-bea/profil/spieler/51714","Real Valladolid"
"Jesús Rueda","Jesús Rueda Defensa central","Defensa central","España","200 mil €","https://www.transfermarkt.es/jesus-rueda/profil/spieler/56543","Real Valladolid"
"Aridane Hernández","Aridane Hernández Defensa central","Defensa central","España","-","https://www.transfermarkt.es/aridane-hernandez/profil/spieler/82503","Real Valladolid"
"Alberto Marcos","Alberto Marcos Lateral izquierdo","Lateral izquierdo","España","1,00 mill. €","https://www.transfermarkt.es/alberto-marcos/profil/spieler/7802","Real Valladolid"
"Pedro López","Pedro López Lateral derecho","Lateral derecho","España","2,40 mill. €","https://www.transfermarkt.es/pedro-lopez/profil/spieler/25412","Real Valladolid"
"Óscar Sánchez","Óscar Sánchez Lateral derecho","Lateral derecho","España","1,80 mill. €","https://www.transfermarkt.es/oscar-sanchez/profil/spieler/7805","Real Valladolid"
"Kike López","Kike López Lateral derecho","Lateral derecho","España","400 mil €","https://www.transfermarkt.es/kike-lopez/profil/spieler/56542","Real Valladolid"
"Álvaro Rubio","Álvaro Rubio Pivote","Pivote","España","3,00 mill. €","https://www.transfermarkt.es/alvaro-rubio/profil/spieler/8323","Real Valladolid"
"Borja Fernández","Borja Fernández Pivote","Pivote","España","2,40 mill. €","https://www.transfermarkt.es/borja-fernandez/profil/spieler/7512","Real Valladolid"
"Javi Baraja","Javi Baraja Pivote","Pivote","España","1,20 mill. €","https://www.transfermarkt.es/javi-baraja/profil/spieler/29061","Real Valladolid"
"Haris Medunjanin","Haris Medunjanin Mediocentro","Mediocentro","Bosnia y Herzegovina","1,40 mill. €","https://www.transfermarkt.es/haris-medunjanin/profil/spieler/30666","Real Valladolid"
"Marcos Aguirre","Marcos Aguirre Interior derecho","Interior derecho","Argentina","1,60 mill. €","https://www.transfermarkt.es/marcos-aguirre/profil/spieler/54573","Real Valladolid"
"Damián Escudero","Damián Escudero Mediocentro ofensivo","Mediocentro ofensivo","Argentina","3,80 mill. €","https://www.transfermarkt.es/damian-escudero/profil/spieler/45313","Real Valladolid"
"Fabián Canobbio","Fabián Canobbio Mediocentro ofensivo","Mediocentro ofensivo","Uruguay","2,40 mill. €","https://www.transfermarkt.es/fabian-canobbio/profil/spieler/15455","Real Valladolid"
"Ángel Vivar Dorado","Ángel Vivar Dorado Mediocentro ofensivo","Mediocentro ofensivo","España","1,00 mill. €","https://www.transfermarkt.es/angel-vivar-dorado/profil/spieler/23114","Real Valladolid"
"Jonathan Sesma","Jonathan Sesma Extremo izquierdo","Extremo izquierdo","España","3,00 mill. €","https://www.transfermarkt.es/jonathan-sesma/profil/spieler/29147","Real Valladolid"
"Pedro León","Pedro León Extremo derecho","Extremo derecho","España","6,00 mill. €","https://www.transfermarkt.es/pedro-leon/profil/spieler/51587","Real Valladolid"
"Henok Goitom","Henok Goitom Delantero centro","Delantero centro","Eritrea","3,00 mill. €","https://www.transfermarkt.es/henok-goitom/profil/spieler/6838","Real Valladolid"
"Bartholomew Ogbeche","Bartholomew Ogbeche Delantero centro","Delantero centro","Nigeria","1,80 mill. €","https://www.transfermarkt.es/bartholomew-ogbeche/profil/spieler/5574","Real Valladolid"
"Pedro Oldoni","Pedro Oldoni Delantero centro","Delantero centro","Brasil","1,40 mill. €","https://www.transfermarkt.es/pedro-oldoni/profil/spieler/55389","Real Valladolid"
"Víctor Fernández","Víctor Fernández Delantero centro","Delantero centro","España","1,20 mill. €","https://www.transfermarkt.es/victor-fernandez/profil/spieler/7846","Real Valladolid"
"Diego Alves","Diego Alves Portero","Portero","Brasil","6,00 mill. €","https://www.transfermarkt.es/diego-alves/profil/spieler/42373","Almería"
"Esteban","Esteban Portero","Portero","España","1,40 mill. €","https://www.transfermarkt.es/esteban/profil/spieler/15974","Almería"
"Álvaro García","Álvaro García Portero","Portero","España","-","https://www.transfermarkt.es/alvaro-garcia/profil/spieler/98849","Almería"
"Hernán Pellerano","Hernán Pellerano Defensa central","Defensa central","Argentina","4,00 mill. €","https://www.transfermarkt.es/hernan-pellerano/profil/spieler/26801","Almería"
"Carlos García","Carlos García Defensa central","Defensa central","España","3,80 mill. €","https://www.transfermarkt.es/carlos-garcia/profil/spieler/15762","Almería"
"Chico Flores","Chico Flores Defensa central","Defensa central","España","2,00 mill. €","https://www.transfermarkt.es/chico-flores/profil/spieler/51681","Almería"
"Santiago Acasiete","Santiago Acasiete Defensa central","Defensa central","Perú","1,80 mill. €","https://www.transfermarkt.es/santiago-acasiete/profil/spieler/30563","Almería"
"Mané","Mané Lateral izquierdo","Lateral izquierdo","España","5,00 mill. €","https://www.transfermarkt.es/mane/profil/spieler/51547","Almería"
"Guilherme Santos","Guilherme Santos Lateral izquierdo","Lateral izquierdo","Brasil","900 mil €","https://www.transfermarkt.es/guilherme-santos/profil/spieler/53965","Almería"
"Bruno Saltor","Bruno Saltor Lateral derecho","Lateral derecho","España","3,00 mill. €","https://www.transfermarkt.es/bruno-saltor/profil/spieler/51528","Almería"
"Juanma Ortiz","Juanma Ortiz Lateral derecho","Lateral derecho","España","3,00 mill. €","https://www.transfermarkt.es/juanma-ortiz/profil/spieler/7353","Almería"
"Michel Macedo","Michel Macedo Lateral derecho","Lateral derecho","Brasil","600 mil €","https://www.transfermarkt.es/michel-macedo/profil/spieler/77262","Almería"
"Juanito","Juanito Pivote","Pivote","España","3,80 mill. €","https://www.transfermarkt.es/juanito/profil/spieler/7795","Almería"
"Miguel Ángel Corona","Miguel Ángel Corona Mediocentro","Mediocentro","España","4,00 mill. €","https://www.transfermarkt.es/miguel-angel-corona/profil/spieler/7945","Almería"
"Iriney","Iriney Mediocentro","Mediocentro","Brasil","1,00 mill. €","https://www.transfermarkt.es/iriney/profil/spieler/35515","Almería"
"Pablo Piatti","Pablo Piatti Mediocentro ofensivo","Mediocentro ofensivo","Argentina","7,00 mill. €","https://www.transfermarkt.es/pablo-piatti/profil/spieler/56067","Almería"
"Fernando Soriano","Fernando Soriano Mediocentro ofensivo","Mediocentro ofensivo","España","2,80 mill. €","https://www.transfermarkt.es/fernando-soriano/profil/spieler/7989","Almería"
"Julio Álvarez","Julio Álvarez Mediocentro ofensivo","Mediocentro ofensivo","Venezuela","2,40 mill. €","https://www.transfermarkt.es/julio-alvarez/profil/spieler/7991","Almería"
