"name","position","age","nationality","market_value","profile_url","team"
"Mariano Pernía","Mariano Pernía Lateral izquierdo","Lateral izquierdo","España","5,00 mill. €","https://www.transfermarkt.es/mariano-pernia/profil/spieler/22973","Atlético"
"Georgios Seitaridis","Georgios Seitaridis Lateral derecho","Lateral derecho","Grecia","4,00 mill. €","https://www.transfermarkt.es/georgios-seitaridis/profil/spieler/9841","Atlético"
"Paulo Assunção","Paulo Assunção Pivote","Pivote","Brasil","8,00 mill. €","https://www.transfermarkt.es/paulo-assuncao/profil/spieler/14244","Atlético"
"Ignacio Camacho","Ignacio Camacho Pivote","Pivote","España","3,00 mill. €","https://www.transfermarkt.es/ignacio-camacho/profil/spieler/58874","Atlético"
"Rubén Pérez","Rubén Pérez Pivote","Pivote","España","-","https://www.transfermarkt.es/ruben-perez/profil/spieler/113045","Atlético"
"Maniche","Maniche Mediocentro","Mediocentro","Portugal","10,00 mill. €","https://www.transfermarkt.es/maniche/profil/spieler/9822","Atlético"
"Éver Banega","Éver Banega Mediocentro","Mediocentro","Argentina","10,00 mill. €","https://www.transfermarkt.es/ever-banega/profil/spieler/12249","Atlético"
"Cléber Santana","Cléber Santana Mediocentro","Mediocentro","Brasil","2,80 mill. €","https://www.transfermarkt.es/cleber-santana/profil/spieler/50145","Atlético"
"Álex Quillo","Álex Quillo Mediocentro","Mediocentro","España","-","https://www.transfermarkt.es/alex-quillo/profil/spieler/63724","Atlético"
"Joshua Zapata","Joshua Zapata Mediocentro","Mediocentro","España","-","https://www.transfermarkt.es/joshua-zapata/profil/spieler/72002","Atlético"
"Raúl García","Raúl García Mediocentro ofensivo","Mediocentro ofensivo","España","13,00 mill. €","https://www.transfermarkt.es/raul-garcia/profil/spieler/34601","Atlético"
"Maxi Rodríguez","Maxi Rodríguez Extremo izquierdo","Extremo izquierdo","Argentina","25,00 mill. €","https://www.transfermarkt.es/maxi-rodriguez/profil/spieler/7895","Atlético"
"Simão","Simão Extremo izquierdo","Extremo izquierdo","Portugal","22,00 mill. €","https://www.transfermarkt.es/simao/profil/spieler/8019","Atlético"
"Luis García","Luis García Extremo derecho","Extremo derecho","España","6,00 mill. €","https://www.transfermarkt.es/luis-garcia/profil/spieler/7920","Atlético"
"Miguel de las Cuevas","Miguel de las Cuevas Extremo derecho","Extremo derecho","España","3,00 mill. €","https://www.transfermarkt.es/miguel-de-las-cuevas/profil/spieler/54774","Atlético"
"Keko Gontán","Keko Gontán Extremo derecho","Extremo derecho","España","-","https://www.transfermarkt.es/keko-gontan/profil/spieler/66112","Atlético"
