"name","market_value","team"
"Didier Zokora","14,00 mill. €","Sevilla"
"Romaric","9,00 mill. €","Sevilla"
"Aldo Duscher","2,00 mill. €","Sevilla"
"Lolo","2,00 mill. €","Sevilla"
"Renato","9,00 mill. €","Sevilla"
"Jesús Navas","28,00 mill. €","Sevilla"
"Tom De Mul","2,00 mill. €","Sevilla"
"José Carlos","1,00 mill. €","Sevilla"
"Luis Alberto","-","Sevilla"
"Diego Perotti","12,00 mill. €","Sevilla"
"Diego Capel","8,00 mill. €","Sevilla"
"Lautaro Acosta","2,00 mill. €","Sevilla"
"Luís Fabiano","28,00 mill. €","Sevilla"
"Frédéric Kanouté","16,00 mill. €","Sevilla"
"Álvaro Negredo","16,00 mill. €","Sevilla"
"Arouna Koné","2,50 mill. €","Sevilla"
"Javier Chevantón","2,40 mill. €","Sevilla"
"Enrique Carreño","-","Sevilla"
"Rodri Ríos","-","Sevilla"
"Miguel Ángel Moyá","2,00 mill. €","Valencia"
"César Sánchez","1,00 mill. €","Valencia"
"Dani Hernández","-","Valencia"
"Carlos Marchena","8,00 mill. €","Valencia"
"Ángel Dealbert","6,00 mill. €","Valencia"
"Alexis Ruano","6,00 mill. €","Valencia"
"David Navarro","3,80 mill. €","Valencia"
"Arturo Navarro","-","Valencia"
"Jérémy Mathieu","10,00 mill. €","Valencia"
"Jordi Alba","3,00 mill. €","Valencia"
"Asier del Horno","1,00 mill. €","Valencia"
"Víctor Fernández","-","Valencia"
"Miguel","7,00 mill. €","Valencia"
"Bruno Saltor","5,00 mill. €","Valencia"
"Lillo Castellano","400 mil €","Valencia"
"Joel Johnson","-","Valencia"
"Hedwiges Maduro","4,00 mill. €","Valencia"
"David Albelda","4,00 mill. €","Valencia"
"Éver Banega","14,00 mill. €","Valencia"
"Rubén Baraja","2,00 mill. €","Valencia"
"Míchel Herrero","2,00 mill. €","Valencia"
"Carles Martínez","-","Valencia"
"David Silva","32,00 mill. €","Valencia"
"Juan Mata","23,00 mill. €","Valencia"
"Manuel Fernandes","12,00 mill. €","Valencia"
"Alejandro Domínguez","7,00 mill. €","Valencia"
"Isco","-","Valencia"
"Vicente","5,00 mill. €","Valencia"
"Pablo Hernández","14,00 mill. €","Valencia"
"Joaquín","12,00 mill. €","Valencia"
"Olcina","-","Valencia"
"David Villa","45,00 mill. €","Valencia"
"Nikola Zigic","8,00 mill. €","Valencia"
"Miku","2,80 mill. €","Valencia"
"Diego López","16,00 mill. €","Villarreal"
"Xavier Oliva","500 mil €","Villarreal"
"Diego Godín","12,00 mill. €","Villarreal"
"Gonzalo Rodríguez","9,00 mill. €","Villarreal"
"Iván Marcano","6,00 mill. €","Villarreal"
"Mateo Musacchio","2,00 mill. €","Villarreal"
"Fabricio Fuentes","1,00 mill. €","Villarreal"
"Kiko Olivas","900 mil €","Villarreal"
"Joan Capdevila","10,00 mill. €","Villarreal"
"José Manuel Catalá","700 mil €","Villarreal"
"Joan Oriol","600 mil €","Villarreal"
"Ángel López","5,00 mill. €","Villarreal"
"Javi Venta","800 mil €","Villarreal"
"Marcos Senna","6,00 mill. €","Villarreal"
"Sebastián Eguren","5,00 mill. €","Villarreal"
"Bruno Soriano","5,00 mill. €","Villarreal"
"Santi Cazorla","15,00 mill. €","Villarreal"
"Javier Matilla","1,20 mill. €","Villarreal"
"Marcos Gullón","1,00 mill. €","Villarreal"
"Robert Pirès","1,00 mill. €","Villarreal"
"Ariel Ibagaza","4,00 mill. €","Villarreal"
"David Fuster","3,00 mill. €","Villarreal"
"Damián Escudero","2,00 mill. €","Villarreal"
"Cani","6,00 mill. €","Villarreal"
"Jefferson Montero","1,20 mill. €","Villarreal"
"Hernán Pérez","800 mil €","Villarreal"
"Giuseppe Rossi","22,00 mill. €","Villarreal"
"Nilmar","14,00 mill. €","Villarreal"
"Joseba Llorente","6,00 mill. €","Villarreal"
"Jonathan Pereira","3,00 mill. €","Villarreal"
"Marco Ruben","3,00 mill. €","Villarreal"
"Jacobo Sanz","1,80 mill. €","Real Valladolid"
"Justo Villar","1,60 mill. €","Real Valladolid"
"Fabri","500 mil €","Real Valladolid"
"Javi Jiménez","-","Real Valladolid"
"César Arzo","2,80 mill. €","Real Valladolid"
"Luis Prieto","1,80 mill. €","Real Valladolid"
"Sereno","1,40 mill. €","Real Valladolid"
"Nivaldo","1,00 mill. €","Real Valladolid"
"Raúl Navas","-","Real Valladolid"
"Asier del Horno","1,00 mill. €","Real Valladolid"
"Alberto Marcos","500 mil €","Real Valladolid"
"Yuri Berchiche","-","Real Valladolid"
"Pedro López","2,60 mill. €","Real Valladolid"
"Antonio Barragán","1,00 mill. €","Real Valladolid"
"Borja Fernández","2,00 mill. €","Real Valladolid"
"Álvaro Rubio","1,80 mill. €","Real Valladolid"
"Javi Baraja","1,20 mill. €","Real Valladolid"
"Pelé","2,80 mill. €","Real Valladolid"
"Haris Medunjanin","2,60 mill. €","Real Valladolid"
"Marquitos","2,40 mill. €","Real Valladolid"
"Héctor Font","1,40 mill. €","Real Valladolid"
"Asier Arranz","400 mil €","Real Valladolid"
"Carlos Lázaro","300 mil €","Real Valladolid"
"David Lázaro","200 mil €","Real Valladolid"
"Fabián Canobbio","2,60 mill. €","Real Valladolid"
"Sisi González","2,00 mill. €","Real Valladolid"
"Jonathan Sesma","2,00 mill. €","Real Valladolid"
"Sergio García","-","Real Valladolid"
"Nauzet Alemán","3,00 mill. €","Real Valladolid"
"Keko Gontán","800 mil €","Real Valladolid"
"Alberto Bueno","1,60 mill. €","Real Valladolid"
"Diego Costa","5,00 mill. €","Real Valladolid"
"Manucho","2,40 mill. €","Real Valladolid"
"Heston Munthali","-","Real Valladolid"
"Diego Alves","9,00 mill. €","Almería"
"Esteban","600 mil €","Almería"
"Álvaro García","-","Almería"
"Hernán Pellerano","4,00 mill. €","Almería"
"Chico Flores","3,00 mill. €","Almería"
"Santiago Acasiete","1,00 mill. €","Almería"
"Domingo Cisma","3,00 mill. €","Almería"
"Guilherme Santos","2,00 mill. €","Almería"
"Juanma Ortiz","3,20 mill. €","Almería"
"Michel Macedo","2,00 mill. €","Almería"
"Modeste M'Bami","4,00 mill. €","Almería"
"Hernán Bernardello","4,00 mill. €","Almería"
"Leonardo Borzani","500 mil €","Almería"
"Fabián Vargas","3,00 mill. €","Almería"
"Miguel Ángel Corona","2,00 mill. €","Almería"
"Álex Quillo","300 mil €","Almería"
"Pablo Piatti","5,00 mill. €","Almería"
"Fernando Soriano","3,40 mill. €","Almería"
"Albert Crusat","3,40 mill. €","Almería"
"Miguel Ángel Nieto","600 mil €","Almería"
"José Ortiz","1,20 mill. €","Almería"
"Kalu Uche","4,60 mill. €","Almería"
"Henok Goitom","1,80 mill. €","Almería"
"David Rodríguez","1,20 mill. €","Almería"
"Esteban Solari","900 mil €","Almería"
"Gustavo Munúa","1,00 mill. €","Málaga"
"Roberto Santamaría","800 mil €","Málaga"
"Francesc Arnau","400 mil €","Málaga"
"Weligton","3,80 mill. €","Málaga"
"Iván González","2,00 mill. €","Málaga"
"Hélder Rosário","1,80 mill. €","Málaga"
"Milan Stepanov","1,80 mill. €","Málaga"
"Manu Torres","1,20 mill. €","Málaga"
"Ibán Cuadrado","400 mil €","Málaga"
"Daniel Orozco","300 mil €","Málaga"
"Patrick Mtiliga","1,00 mill. €","Málaga"
"Jesús Gámez","5,00 mill. €","Málaga"
"Manolo Gaspar","800 mil €","Málaga"
"Jurado","-","Málaga"
"Juanito","3,00 mill. €","Málaga"
"Xavi Torres","900 mil €","Málaga"
"Apoño","3,60 mill. €","Málaga"
"Dani Toribio","900 mil €","Málaga"
"Edu Ramos","300 mil €","Málaga"
"Jordi Pablo","700 mil €","Málaga"
"José Luque","500 mil €","Málaga"
"Fernando","2,00 mill. €","Málaga"
"Selim Benachour","2,00 mill. €","Málaga"
"Francisco Portillo","-","Málaga"
"Duda","6,00 mill. €","Málaga"
